date,Farm,treatment,area_ha,yield_kg,replicate,yield_kg_ha,days_elapsed
2025-12-15,Bigutu,OSL-Treated,3.0,496.0,,165.33333333333334,0
2025-12-15,Bigutu,UTC,1.5,198.0,,132.0,0
2025-12-23,Ntendezi,OSL-Treated,0.2,138.0,,690.0,0
2025-12-23,Ntendezi,UTC,0.2,64.9,,324.5,0
2025-12-30,Bigutu,OSL-Treated,3.0,361.0,,120.33333333333333,15
2025-12-30,Bigutu,UTC,3.0,210.0,,70.0,15
2026-02-01,Ntendezi,OSL-Treated,0.2,66.22,,331.09999999999997,40
2026-02-01,Ntendezi,UTC,0.2,57.5,,287.5,40
2026-01-16,Ntendezi,OSL-Treated,0.2,57.45,,287.25,24
2026-01-16,Ntendezi,UTC,0.2,37.75,,188.75,24
2026-01-15,Bigutu,OSL-Treated,3.0,782.3,,260.76666666666665,31
2026-01-15,Bigutu,UTC,3.0,328.9,,109.63333333333333,31
2026-01-28,Ntendezi,OSL-Treated,0.2,62.59,,312.95,36
2026-01-28,Ntendezi,UTC,0.2,30.87,,154.35,36
2026-01-29,Bigutu,OSL-Treated,3.0,946.88,,315.62666666666667,45
2026-01-29,Bigutu,UTC,3.0,575.98,,191.99333333333334,45
2026-02-10,Ntendezi,OSL-Treated,0.2,81.1,,405.49999999999994,49
2026-02-10,Ntendezi,UTC,0.2,43.45,,217.25,49
2026-02-18,Bigutu,OSL-Treated,3.0,1006.679,,335.55966666666666,65
2026-02-18,Bigutu,UTC,3.0,512.19,,170.73000000000002,65
2026-02-24,Ntendezi,OSL-Treated,0.2,74.05,,370.24999999999994,63
2026-02-24,Ntendezi,UTC,0.2,45.1,,225.5,63
2026-03-02,Bigutu,OSL-Treated,3.0,875.15,,291.71666666666664,77
2026-03-02,Bigutu,UTC,3.0,628.45,,209.48333333333335,77
2026-03-06,Ntendezi,OSL-Treated,0.2,69.03,,345.15,73
2026-03-06,Ntendezi,UTC,0.2,46.55,,232.74999999999997,73
2026-03-13,Bigutu,OSL-Treated,3.0,573.74,,191.24666666666667,88
2026-03-13,Bigutu,UTC,3.0,397.8,,132.6,88
2026-03-16,Ntendezi,OSL-Treated,0.2,98.9,,494.5,83
2026-03-16,Ntendezi,UTC,0.2,74.55,,372.74999999999994,83
2026-03-23,Bigutu,OSL-Treated,3.0,556.8,,185.6,98
2026-03-23,Bigutu,UTC,3.0,352.4,,117.46666666666665,98
2026-03-25,Ntendezi,OSL-Treated,0.2,88.85,,444.24999999999994,92
2026-03-25,Ntendezi,UTC,0.2,60.9,,304.5,92
2026-04-02,Bigutu,OSL-Treated,3.0,532.4,,177.46666666666667,108
2026-04-02,Bigutu,UTC,3.0,328.6,,109.53333333333335,108
2026-04-03,Ntendezi,OSL-Treated,0.2,73.81,,369.05,101
2026-04-03,Ntendezi,UTC,0.2,50.2,,251.0,101
2026-04-13,Ntendezi,OSL-Treated,0.2,83.7,,418.5,111
2026-04-13,Ntendezi,UTC,0.2,57.25,,286.25,111
2026-04-11,Bigutu,OSL-Treated,3.0,569.0,,189.66666666666666,117
2026-04-11,Bigutu,UTC,3.0,386.7,,128.9,117
2026-04-24,Ntendezi,OSL-Treated,0.2,82.4,,412.0,122
2026-04-24,Ntendezi,UTC,0.2,47.13,,235.65,122
2026-04-24,Bigutu,OSL-Treated,3.0,893.9,,297.96666666666664,130
2026-04-24,Bigutu,UTC,3.0,520.5,,173.5,130
2026-05-02,Ntendezi,OSL-Treated,0.2,68.2,,341.0,130
2026-05-02,Ntendezi,UTC,0.2,51.55,,257.74999999999994,130
2026-05-04,Bigutu,OSL-Treated,3.0,830.1,,276.7,140
2026-05-04,Bigutu,UTC,3.0,547.6,,182.53333333333333,140
